timestamps,open,high,low,close,volume,amount
2026-04-30T13:30:00+00:00,270.5,270.9100036621094,268.75,269.0350036621094,2367257,636874995.664154
2026-04-30T13:35:00+00:00,268.8299865722656,269.114990234375,268.1400146484375,268.8299865722656,988268,265676073.1697998
2026-04-30T13:40:00+00:00,268.82501220703125,269.4100036621094,268.6199951171875,269.07000732421875,559369,150509420.92694092
2026-04-30T13:45:00+00:00,269.07000732421875,270.0599060058594,269.0400085449219,269.4684143066406,569624,153495676.03100586
2026-04-30T13:50:00+00:00,269.456787109375,270.7099914550781,269.4200134277344,270.5880126953125,601865,162857454.26086426
2026-04-30T13:55:00+00:00,270.0165100097656,270.6199951171875,269.8500061035156,270.6000061035156,677046,183208651.73236084
2026-04-30T14:00:00+00:00,270.6000061035156,272.20001220703125,270.54949951171875,271.6300048828125,1139951,309644895.696167
2026-04-30T14:05:00+00:00,271.6099853515625,271.79998779296875,270.8599853515625,271.4700012207031,737419,200187136.83016968
2026-04-30T14:10:00+00:00,271.4200134277344,271.69000244140625,271.0101013183594,271.19000244140625,586874,159154361.49279785
2026-04-30T14:15:00+00:00,271.20001220703125,271.54998779296875,271.0400085449219,271.0400085449219,434257,117701020.99069214
2026-04-30T14:20:00+00:00,271.0400085449219,271.8699951171875,271.010009765625,271.739990234375,410765,111621277.08862305
2026-04-30T14:25:00+00:00,271.7349853515625,272.0799865722656,271.5917053222656,271.91900634765625,704724,191627849.8293457
2026-04-30T14:30:00+00:00,272.0,272.20001220703125,271.54998779296875,271.6199951171875,434633,118055013.33776855
2026-04-30T14:35:00+00:00,271.44000244140625,271.45001220703125,270.9200134277344,271.0799865722656,387524,105050000.71643066
2026-04-30T14:40:00+00:00,271.1099853515625,271.5199890136719,271.1099853515625,271.4700012207031,363410,98654913.14361572
2026-04-30T14:45:00+00:00,271.4849853515625,271.6400146484375,270.989990234375,270.989990234375,363663,98549032.81860352
2026-04-30T14:50:00+00:00,270.9599914550781,271.29998779296875,270.7300109863281,271.2200012207031,352657,95647631.9704895
2026-04-30T14:55:00+00:00,271.2300109863281,271.2900085449219,270.8399963378906,270.8605041503906,261250,70762306.70928955
2026-04-30T15:00:00+00:00,270.8599853515625,271.19000244140625,270.760009765625,271.135009765625,260010,70497813.88916016
2026-04-30T15:05:00+00:00,271.135009765625,271.4700012207031,271.05999755859375,271.2650146484375,346603,94021267.87219238
2026-04-30T15:10:00+00:00,271.2749938964844,271.364990234375,271.1650085449219,271.2900085449219,231767,62876071.41043091
2026-04-30T15:15:00+00:00,271.2900085449219,271.5799865722656,270.95001220703125,271.1549987792969,396783,107589693.88064575
2026-04-30T15:20:00+00:00,271.125,271.5899963378906,271.0450134277344,271.4150085449219,378591,102755279.50003052
2026-04-30T15:25:00+00:00,271.4200134277344,271.6300048828125,271.260009765625,271.5199890136719,345706,93866089.32196045
2026-04-30T15:30:00+00:00,271.5249938964844,271.6299133300781,271.2300109863281,271.30999755859375,218421,59259800.976745605
2026-04-30T15:35:00+00:00,271.2900085449219,271.6401062011719,271.2275085449219,271.6401062011719,268109,72829157.23348999
